ref_date,geography,industry,data_type,value
2020-01-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,19204.7
2020-01-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1509.6
2020-01-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1741.1
2020-01-01 00:00:00,Canada,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,2940.6
2020-01-01 00:00:00,Canada,Transportation and warehousing [48-49],Seasonally adjusted,1034.2
2020-01-01 00:00:00,Canada,"Professional, scientific and technical services [54]",Seasonally adjusted,1574
2020-01-01 00:00:00,Canada,Health care and social assistance [62],Seasonally adjusted,2518.1
2020-01-01 00:00:00,Canada,Public administration [91],Seasonally adjusted,990.8
2020-01-01 00:00:00,Ontario,"Total employed, all industries",Seasonally adjusted,7516.9
2020-01-01 00:00:00,Ontario,Construction [23],Seasonally adjusted,565.8
2020-01-01 00:00:00,Ontario,Manufacturing [31-33],Seasonally adjusted,756.7
2020-01-01 00:00:00,Ontario,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,1132.6
2020-01-01 00:00:00,Ontario,Transportation and warehousing [48-49],Seasonally adjusted,394.3
2020-01-01 00:00:00,Ontario,"Professional, scientific and technical services [54]",Seasonally adjusted,693.8
2020-01-01 00:00:00,Ontario,Health care and social assistance [62],Seasonally adjusted,910.4
2020-01-01 00:00:00,Ontario,Public administration [91],Seasonally adjusted,378.3
2020-01-01 00:00:00,Alberta,"Total employed, all industries",Seasonally adjusted,2289.3
2020-01-01 00:00:00,Alberta,Construction [23],Seasonally adjusted,225.3
2020-01-01 00:00:00,Alberta,Manufacturing [31-33],Seasonally adjusted,137.4
2020-01-01 00:00:00,Alberta,"Wholesale and retail trade [41, 44-45]",Seasonally adjusted,339.1
2020-01-01 00:00:00,Alberta,Transportation and warehousing [48-49],Seasonally adjusted,131.8
2020-01-01 00:00:00,Alberta,"Professional, scientific and technical services [54]",Seasonally adjusted,182
2020-01-01 00:00:00,Alberta,Health care and social assistance [62],Seasonally adjusted,292.7
2020-01-01 00:00:00,Alberta,Public administration [91],Seasonally adjusted,102.7
2020-02-01 00:00:00,Canada,"Total employed, all industries",Seasonally adjusted,19202.9
2020-02-01 00:00:00,Canada,Construction [23],Seasonally adjusted,1503.5
2020-02-01 00:00:00,Canada,Manufacturing [31-33],Seasonally adjusted,1755.8
