ref_date,geography,characteristic,data_type,value
2020-01-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,5.5
2020-01-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,5.2
2020-01-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,7.3
2020-02-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,5.8
2020-02-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,5.6
2020-02-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,7.4
2020-03-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,8.5
2020-03-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,8.5
2020-03-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,8.8
2020-04-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,13.7
2020-04-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,12.1
2020-04-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,13.1
2020-05-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,14.2
2020-05-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,14.2
2020-05-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,15.4
2020-06-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,12.6
2020-06-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,12.6
2020-06-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,15.3
2020-07-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,10.9
2020-07-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,11.4
2020-07-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,12.9
2020-08-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,10.1
2020-08-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,10.4
2020-08-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,12.5
2020-09-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,9.1
2020-09-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,9.6
2020-09-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,12
2020-10-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,9
2020-10-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,9.4
2020-10-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,11.6
2020-11-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,8.6
2020-11-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,9
2020-11-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,11.1
2020-12-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,8.9
2020-12-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,9.9
2020-12-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,10.7
2021-01-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,9.2
2021-01-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,10.2
2021-01-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,10.3
2021-02-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,8.5
2021-02-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,9.5
2021-02-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,9.9
2021-03-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,7.7
2021-03-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,7.8
2021-03-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,9.2
2021-04-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,8.2
2021-04-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,9.4
2021-04-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,8.8
2021-05-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,8.3
2021-05-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,9.4
2021-05-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,8.5
2021-06-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,7.9
2021-06-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,8.8
2021-06-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,8.8
2021-07-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,7.4
2021-07-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,7.9
2021-07-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,8.4
2021-08-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,7.1
2021-08-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,7.7
2021-08-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,8
2021-09-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,7
2021-09-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,7.4
2021-09-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,7.8
2021-10-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,6.5
2021-10-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,6.7
2021-10-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,7.8
2021-11-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,6.1
2021-11-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,6.5
2021-11-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,7.4
2021-12-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,5.9
2021-12-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,6.3
2021-12-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,6.9
2022-01-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,6.4
2022-01-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,7.4
2022-01-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,6.9
2022-02-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,5.5
2022-02-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,5.7
2022-02-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,6.6
2022-03-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,5.4
2022-03-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,5.4
2022-03-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,6.3
2022-04-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,5.4
2022-04-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,5.6
2022-04-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,6.1
2022-05-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,5.2
2022-05-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,5.4
2022-05-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,5.9
2022-06-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,4.9
2022-06-01 00:00:00,Ontario,Unemployment rate,Seasonally adjusted,5.1
2022-06-01 00:00:00,Alberta,Unemployment rate,Seasonally adjusted,5.2
2022-07-01 00:00:00,Canada,Unemployment rate,Seasonally adjusted,4.8
